,educ,docc03,wageotc,count,wbhaom,female,region,age,citistat
0,Advanced,Business and financial operations occupations,22.566553146781025,38364.15283203125,Black,Female,South,65+ yr,"Native, born in US"
1,High school,Food preparation and serving related occupations,11.032523900755278,519501.0422363281,Black,Male,South,<25 yr,"Native, born in US"
2,College,Office and administrative support occupations,19.481754316167187,680942.9855957031,Black,Female,South,25-35 yr,"Native, born in US"
3,High school,Computer and mathematical science occupations,32.154155669166364,18410.098876953125,Black,Female,South,35-45 yr,"Native, born in US"
4,High school,Production occupations,16.08305747185893,190571.48315429688,Black,Female,South,55-65 yr,"Native, born in US"
5,High school,Transportation and material moving occupations,18.074932824391844,1483125.9064941406,Black,Male,South,25-35 yr,"Native, born in US"
6,College,Transportation and material moving occupations,19.96390116599503,26033.33251953125,White,Female,South,65+ yr,"Native, born in US"
7,College,Management occupations,47.13060360353608,1797186.398071289,White,Female,South,35-45 yr,"Native, born in US"
8,High school,Sales and related occupations,33.66339286195195,735126.265625,White,Male,South,35-45 yr,"Native, born in US"
9,College,"Education, training, and library occupations",25.967615420090805,1710352.1274414062,White,Female,South,35-45 yr,"Native, born in US"
10,Some college,Transportation and material moving occupations,19.429425179071337,743013.6003417969,Black,Male,South,25-35 yr,"Native, born in US"
11,Some college,Healthcare support occupations,15.412227560352457,183631.52734375,Black,Female,South,55-65 yr,"Native, born in US"
12,College,Architecture and engineering occupations,50.499842126647486,13974.88330078125,Multiple races,Male,South,35-45 yr,"Native, born in US"
13,High school,Sales and related occupations,18.99462337799195,230132.306640625,Black,Male,South,45-55 yr,"Native, born in US"
14,High school,Building and grounds cleaning and maintenance occupations,10.51536481116564,158178.3798828125,Hispanic,Female,South,25-35 yr,"Foreign born, not a US citizen"
15,High school,Transportation and material moving occupations,20.893552014156818,930445.5913085938,Black,Male,South,35-45 yr,"Native, born in US"
16,High school,Healthcare practitioner and technical occupations,21.75324523277513,199078.63330078125,Black,Female,South,45-55 yr,"Native, born in US"
17,High school,Production occupations,23.978029852651684,374219.79248046875,Black,Male,South,55-65 yr,"Native, born in US"
18,High school,Food preparation and serving related occupations,16.285427140343565,467123.77294921875,Black,Male,South,25-35 yr,"Native, born in US"
19,High school,Transportation and material moving occupations,21.913427925271638,811692.8666992188,Black,Male,South,45-55 yr,"Native, born in US"
20,High school,Healthcare practitioner and technical occupations,20.597833821066924,110150.25244140625,Black,Female,South,35-45 yr,"Native, born in US"
21,Advanced,Healthcare practitioner and technical occupations,42.764242831325625,805083.8205566406,White,Male,South,25-35 yr,"Native, born in US"
22,College,Business and financial operations occupations,32.76961568985272,1579056.984741211,White,Female,South,25-35 yr,"Native, born in US"
23,College,Sales and related occupations,43.32730879094118,1421287.6295166016,White,Male,South,25-35 yr,"Native, born in US"
24,High school,"Installation, maintenance, and repair occupations",18.89867085939975,216604.6123046875,Black,Male,South,35-45 yr,"Native, born in US"
25,College,"Education, training, and library occupations",38.7385636346588,56700.33447265625,Black,Male,South,45-55 yr,"Native, born in US"
26,College,Computer and mathematical science occupations,35.79454050763623,98466.9384765625,Hispanic,Male,South,<25 yr,"Native, born in US"
27,High school,Computer and mathematical science occupations,19.136030114099665,83749.02368164062,Hispanic,Male,South,<25 yr,"Native, born in US"
28,College,Management occupations,42.760106531629496,1568911.1853027344,White,Male,South,25-35 yr,"Native, born in US"
29,Advanced,Healthcare practitioner and technical occupations,41.86732470630977,1748121.0808105469,White,Female,South,25-35 yr,"Native, born in US"
30,Some college,Office and administrative support occupations,23.869673814346392,2550920.7885742188,White,Female,South,55-65 yr,"Native, born in US"
31,College,"Education, training, and library occupations",28.76430186173272,1770062.1112060547,White,Female,South,25-35 yr,"Native, born in US"
32,College,Sales and related occupations,47.09146060386994,787662.7896728516,White,Female,South,45-55 yr,"Native, born in US"
33,College,Sales and related occupations,48.64194965074133,1312977.1467285156,White,Male,South,35-45 yr,"Native, born in US"
34,College,Production occupations,48.06666564941406,7918.4248046875,White,Male,South,25-35 yr,"Foreign born, naturalized US citizen"
35,College,Office and administrative support occupations,21.566103227314873,309829.6687011719,White,Female,South,65+ yr,"Native, born in US"
36,High school,Production occupations,19.351746057806256,615641.7956542969,Black,Male,South,45-55 yr,"Native, born in US"
37,College,Computer and mathematical science occupations,30.772245839691784,130819.5947265625,Asian,Male,South,25-35 yr,"Native, born in US"
38,College,Building and grounds cleaning and maintenance occupations,8.125,9727.2470703125,Black,Male,South,25-35 yr,"Native, born in US"
39,Advanced,Computer and mathematical science occupations,48.07500076293945,10178.7763671875,Native American,Male,South,35-45 yr,"Foreign born, naturalized US citizen"
40,Some college,Architecture and engineering occupations,37.1138692386328,389382.12744140625,White,Male,South,45-55 yr,"Native, born in US"
41,College,Legal occupations,45.18670493015525,146184.28381347656,White,Female,South,45-55 yr,"Native, born in US"
42,College,Computer and mathematical science occupations,34.074634847532025,415983.1545410156,White,Male,South,<25 yr,"Native, born in US"
43,Some college,Healthcare support occupations,14.870059589211643,508323.0314941406,Black,Female,South,35-45 yr,"Native, born in US"
44,Some college,Protective service occupations,24.12573493937224,151759.47998046875,Black,Male,South,45-55 yr,"Native, born in US"
45,Some college,Production occupations,26.16412476049605,142769.50805664062,Black,Male,South,55-65 yr,"Native, born in US"
46,College,Computer and mathematical science occupations,41.71245343298442,418721.60900878906,White,Female,South,25-35 yr,"Native, born in US"
47,Some college,Production occupations,28.74380326801722,61606.8515625,Hispanic,Male,South,45-55 yr,"Native, born in US"
48,Advanced,Community and social service occupations,32.4666559511657,503086.32580566406,White,Female,South,35-45 yr,"Native, born in US"
49,Advanced,Healthcare practitioner and technical occupations,38.56088631073284,261219.8634033203,Black,Female,South,35-45 yr,"Native, born in US"
50,Advanced,"Life, physical, and social science occupations",107.6762593414729,78850.0205078125,Asian,Male,South,35-45 yr,"Foreign born, not a US citizen"
51,Some college,Office and administrative support occupations,22.368956401541123,838412.3825683594,White,Female,South,65+ yr,"Native, born in US"
52,Some college,Production occupations,24.681432910222156,1154186.7824707031,White,Male,South,25-35 yr,"Native, born in US"
53,Advanced,Sales and related occupations,37.83208954719125,202663.22802734375,White,Male,South,65+ yr,"Native, born in US"
54,College,Office and administrative support occupations,24.553292997939007,431680.1311035156,Black,Female,South,45-55 yr,"Native, born in US"
55,High school,Transportation and material moving occupations,22.134693144778158,185707.13635253906,Black,Male,South,65+ yr,"Native, born in US"
56,College,Management occupations,71.56304278138005,1785039.7257080078,White,Male,South,55-65 yr,"Native, born in US"
57,College,Management occupations,31.73401077059549,25538.08203125,Multiple races,Female,South,45-55 yr,"Native, born in US"
58,High school,Building and grounds cleaning and maintenance occupations,22.554428650737588,201746.32885742188,Hispanic,Female,South,45-55 yr,"Foreign born, not a US citizen"
59,High school,Production occupations,12.606035722965874,248665.9638671875,Black,Male,South,<25 yr,"Native, born in US"
60,High school,"Education, training, and library occupations",17.652825021446958,103685.07055664062,Black,Female,South,25-35 yr,"Native, born in US"
61,High school,Construction and extraction occupations,19.95894815868597,880585.6379394531,Hispanic,Male,South,25-35 yr,"Foreign born, not a US citizen"
62,College,Management occupations,61.99046831003023,2472397.213623047,White,Male,South,35-45 yr,"Native, born in US"
63,Some college,Transportation and material moving occupations,20.22005131287549,644054.1984863281,White,Male,South,35-45 yr,"Native, born in US"
64,Advanced,"Education, training, and library occupations",32.04836932029528,2117632.8555908203,White,Female,South,35-45 yr,"Native, born in US"
65,Some college,Office and administrative support occupations,18.27050018310547,12714.8701171875,Black,Female,South,25-35 yr,"Native, born abroad with American parent(s)"
66,Some college,Construction and extraction occupations,30.024374790802465,712848.8259277344,White,Male,South,25-35 yr,"Native, born in US"
67,College,"Life, physical, and social science occupations",22.257902280836944,173265.36572265625,White,Female,South,25-35 yr,"Native, born in US"
68,Less than high school,Sales and related occupations,12.281751119536375,103061.1865234375,Hispanic,Female,South,35-45 yr,"Foreign born, not a US citizen"
69,Some college,Management occupations,31.686597928579925,894368.6267089844,White,Female,South,55-65 yr,"Native, born in US"
70,Some college,Protective service occupations,25.411540034533953,296917.55859375,White,Male,South,55-65 yr,"Native, born in US"
71,Some college,Office and administrative support occupations,20.841357671449128,1047839.1174316406,Black,Female,South,45-55 yr,"Native, born in US"
72,Some college,Healthcare practitioner and technical occupations,18.456762509492222,135076.779296875,Black,Male,South,25-35 yr,"Native, born in US"
73,College,Architecture and engineering occupations,63.23444909855749,704588.0958251953,White,Male,South,35-45 yr,"Native, born in US"
74,Less than high school,Sales and related occupations,12.005177291136988,393877.3662109375,White,Male,South,<25 yr,"Native, born in US"
75,High school,"Life, physical, and social science occupations",21.057080986579354,35795.5107421875,White,Male,South,35-45 yr,"Native, born in US"
76,High school,Office and administrative support occupations,20.308102128966837,1481038.5949707031,White,Female,South,35-45 yr,"Native, born in US"
77,Advanced,Healthcare practitioner and technical occupations,63.31870998557082,375970.7482910156,White,Male,South,65+ yr,"Native, born in US"
78,High school,Production occupations,24.065576025552083,1223089.970703125,White,Male,South,25-35 yr,"Native, born in US"
79,High school,Healthcare support occupations,17.37401305162912,290671.45263671875,Black,Female,South,<25 yr,"Native, born in US"
80,Advanced,Architecture and engineering occupations,31.92407395848945,44102.826171875,White,Male,South,65+ yr,"Native, born in US"
81,High school,Transportation and material moving occupations,18.535552345379962,1157970.1223144531,Black,Male,South,<25 yr,"Native, born in US"
82,Some college,Healthcare practitioner and technical occupations,11.917149839931946,101830.00927734375,Black,Female,South,<25 yr,"Native, born in US"
83,Some college,Management occupations,29.383667819232056,1049028.9055175781,White,Female,South,45-55 yr,"Native, born in US"
84,High school,"Installation, maintenance, and repair occupations",24.717847219037072,1142470.271484375,White,Male,South,25-35 yr,"Native, born in US"
85,High school,Sales and related occupations,14.408702456796632,1198852.1591796875,White,Female,South,<25 yr,"Native, born in US"
86,Some college,Office and administrative support occupations,21.630001068115234,9264.92578125,Multiple races,Male,South,55-65 yr,"Native, born in US"
